Код региона,Название региона,Тип региона,Кол-во людей,Поступило,Очное - Основные места,Средний,Очное - Целевая квота,Средний,Очное - Особая квота,Средний,Очное - Специальная квота,Средний,Очное - ДОУ,Средний,Заочное - Основные места,Средний,Заочное - Целевая квота,Средний,Заочное - Особая квота,Средний,Заочное - Специальная квота,Средний,Заочное - ДОУ,Средний,Очно-заочное - Основные места,Средний,Очно-заочное - Целевая квота,Средний,Очно-заочное - Особая квота,Средний,Очно-заочное - Специальная квота,Средний,Очно-заочное - ДОУ,Средний
72,Ленинградская,обл,670,219,120,206.06,13,205.33,1,238,0,0,42,198.31,12,225,1,230,0,0,0,0,17,212.82,10,229,0,0,0,0,0,0,3,170.33
73,Ульяновская,обл,9,2,2,183.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Иркутская обл Усть-Ордынский Бурятский,округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Московская,обл,84,32,11,208.2,10,205.44,0,0,0,0,2,171.5,3,171,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
76,Хакасия,Респ,6,2,1,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Краснодарский,край,214,46,31,206.68,1,165,0,0,0,0,8,197.83,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
78,Ярославская,обл,30,9,4,223.75,0,0,0,0,0,0,2,200,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,238
79,Марий Эл,Респ,16,4,3,206,1,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Саха /Якутия/,Респ,40,11,3,220,0,0,0,0,0,0,5,175.25,1,236,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,264
81,Мордовия,Респ,8,1,0,0,0,0,0,0,0,0,1,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Самарская,обл,67,13,5,194.6,1,226,0,0,0,0,2,196.5,2,217.5,0,0,0,0,0,0,1,160,2,0,0,0,0,0,0,0,0,0
83,Таймырский (Долгано-Ненецкий),АО,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Тюменская,обл,21,2,2,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Тыва,Респ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Карачаево-Черкесская,Респ,5,1,1,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Свердловская,обл,87,24,17,224.75,3,202.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,178.5,0,0,0,0,0,0,0,0
88,Алтайский,край,29,8,6,232.5,0,0,0,0,0,0,2,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Ставропольский,край,92,23,17,212.83,0,0,1,187,0,0,1,153,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,Эвенкийский,АО,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Калмыкия,Респ,10,3,2,228.5,0,0,0,0,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Дагестан,Респ,17,4,1,196,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,185,0,0,0,0,0,0,0,0,0,0
93,Донецкая,обл,3,2,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Луганская,обл,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Запорожская,обл,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Херсонская,обл,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
